Energy(eV),Counts(Arb. Unit)
716.7,19043.28
716.8,19055.22
716.9,19202.24
717,19119.4
717.1,19085.82
717.2,18942.54
717.3,19005.97
717.4,19011.94
717.5,18801.49
717.6,18890.3
717.7,18994.78
717.8,18914.92
717.9,19029.1
718,19218.66
718.1,19105.22
718.2,19375.37
718.3,19567.16
718.4,20148.51
718.5,20337.31
718.6,20549.25
718.7,21036.57
718.8,21641.04
718.9,22147.01
719,22717.16
719.1,23400
719.2,24036.57
719.3,25068.66
719.4,26062.69
719.5,27134.33
719.6,28149.25
719.7,28761.94
719.8,29755.97
719.9,30797.01
720,31557.46
720.1,32420.15
720.2,33076.12
720.3,33660.45
720.4,34247.76
720.5,34685.07
720.6,34909.7
720.7,35246.27
720.8,35391.79
720.9,35158.95
721,35247.76
721.1,34838.8
721.2,34746.27
721.3,34453.73
721.4,34235.82
721.5,33880.6
721.6,33552.24
721.7,33035.82
721.8,32465.67
721.9,32304.48
722,31732.83
722.1,31108.21
722.2,30925.37
722.3,30278.36
722.4,29695.52
722.5,29421.64
722.6,28947.76
722.7,28666.42
722.8,28426.86
722.9,27928.36
723,27509.7
723.1,27230.6
723.2,27161.94
723.3,26950
723.4,26579.85
723.5,26467.91
723.6,26122.39
723.7,25597.76
723.8,25491.04
723.9,25488.06
724,25341.04
724.1,24943.28
724.2,24873.13
724.3,24739.55
724.4,24272.39
724.5,23941.79
724.6,24017.16
724.7,23899.25
724.8,23728.36
724.9,23550
725,23259.7
725.1,23032.83
725.2,23202.98
725.3,22995.52
725.4,23100
725.5,22930.6
725.6,22805.97
725.7,22734.33
725.8,22851.49
725.9,22701.49
726,22661.94
726.1,22545.52
726.2,22332.09
726.3,22448.51
726.4,22339.55
726.5,22256.72
726.6,22118.66
726.7,22145.52
726.8,22176.12
726.9,21970.15
727,22216.42
727.1,22075.37
727.2,22101.49
727.3,21930.6
727.4,21794.78
727.5,21928.36
727.6,21770.89
727.7,21600
727.8,21761.94
727.9,21715.67
728,21900.75
728.1,21841.79
728.2,21444.03
728.3,21662.69
728.4,21685.82
728.5,21651.49
728.6,21594.78
728.7,21503.73
728.8,21599.25
728.9,21297.76
729,21244.03
729.1,21424.63
729.2,21132.09
729.3,21145.52
729.4,21453.73
729.5,21285.07
729.6,21483.58
729.7,21350.75
729.8,21544.78
729.9,21350.75
730,21084.33
730.1,21120.89
730.2,21112.69
730.3,21034.33
730.4,21164.92
730.5,20900.75
730.6,21329.1
730.7,21336.57
730.8,21091.04
730.9,20971.64
731,20970.89
731.1,21076.12
731.2,21117.16
731.3,20832.84
731.4,20814.18
731.5,21213.43
731.6,20879.1
731.7,20826.86
731.8,21003.73
731.9,20998.51
732,20859.7
732.1,21007.46
732.2,20976.12
732.3,21244.03
732.4,21290.3
732.5,21048.51
732.6,20855.22
732.7,20917.91
732.8,21013.43
732.9,20863.43
733,20805.22
733.1,20788.06
733.2,21002.24
733.3,20768.66
733.4,20888.81
733.5,20868.66
733.6,20981.34
733.7,20761.94
733.8,20797.76
733.9,20689.55
734,20815.67
734.1,20791.79
734.2,20982.09
734.3,21021.64
734.4,20909.7
734.5,20809.7
734.6,20897.76
734.7,20848.51
734.8,20797.01
734.9,20823.13
735,20791.04
735.1,20407.46
735.2,20789.55
735.3,20799.25
735.4,20685.07
735.5,20567.91
735.6,20716.42
735.7,20647.76
735.8,20802.24
735.9,20727.61
736,20741.79
736.1,20805.97
736.2,20758.95
736.3,20324.63
736.4,20338.06
736.5,20523.13
736.6,20751.49
736.7,20513.43
736.8,20587.31
736.9,20561.19
737,20581.34
737.1,20660.45
737.2,20719.4
737.3,20570.15
737.4,20359.7
737.5,20464.18
737.6,20617.91
737.7,20602.98
737.8,20579.1
737.9,20538.81
738,20563.43
738.1,20635.82
738.2,20635.82
738.3,20737.31
738.4,20509.7
738.5,20272.39
738.6,20600
738.7,20546.27
738.8,20344.78
738.9,20444.03
739,20392.54
739.1,20297.76
739.2,20384.33
739.3,20345.52
739.4,20255.22
739.5,20414.92
739.6,20573.13
739.7,20096.27
739.8,20226.12
739.9,20020.89
740,20063.43
740.1,19897.76
740.2,20091.04
740.3,20327.61
740.4,20218.66
740.5,20294.78
740.6,20223.13
740.7,20150
740.8,20168.66
740.9,20239.55
741,20403.73
741.1,20101.49
741.2,20014.18
741.3,20050
741.4,20173.88
741.5,19831.34
741.6,20141.04
741.7,19945.52
741.8,20214.18
741.9,20151.49
742,20132.09
742.1,20054.48
742.2,19910.45
742.3,19850
742.4,19783.58
742.5,19942.54
742.6,20011.94
742.7,19773.13
742.8,19876.86
742.9,19938.81
743,19872.39
743.1,19779.1
743.2,19882.09
743.3,20108.21
743.4,20000
743.5,19857.46
743.6,19663.43
743.7,19643.28
743.8,19733.58
743.9,19845.52
744,19923.13
744.1,19735.07
744.2,19920.89
744.3,19492.54
744.4,19814.18
744.5,19794.78
744.6,19932.09
744.7,19823.88
744.8,19838.81
744.9,20030.6
745,19884.33
745.1,19746.27
745.2,19837.31
745.3,19681.34
745.4,19744.03
745.5,19717.16
745.6,19554.48
745.7,19993.28
745.8,19661.94
745.9,19628.36
746,19788.06
746.1,19684.33
746.2,19624.63
746.3,19502.24
746.4,19768.66
746.5,19908.21
746.6,19807.46
746.7,19297.01
746.8,19614.92
746.9,19453.73
747,19613.43
747.1,19399.25
747.2,19373.13
747.3,19408.21
747.4,19520.89
747.5,19365.67
747.6,19360.45
747.7,19587.31
747.8,19527.61
747.9,19444.03
748,19426.12
748.1,19522.39
748.2,19369.4
748.3,19302.24
748.4,19161.94
748.5,19267.16
748.6,19436.57
748.7,19532.84
748.8,19564.18
748.9,19144.78
749,19385.82
749.1,19215.67
749.2,19154.48
749.3,19298.51
749.4,19370.89
749.5,19351.49
749.6,19314.18
749.7,19474.63
749.8,19586.57
749.9,19202.24
750,19185.07
750.1,19269.4
750.2,19202.24
750.3,19430.6
750.4,19348.51
750.5,19081.34
750.6,19074.63
750.7,19076.12
750.8,19004.48
750.9,18913.43
751,19340.3
751.1,19319.4
751.2,19050
751.3,19161.94
751.4,19254.48
751.5,19182.84
751.6,18989.55
751.7,19267.16
751.8,19076.86
751.9,19153.73
752,18976.12
752.1,18967.91
752.2,19206.72
752.3,19141.79
752.4,19239.55
752.5,19280.6
752.6,19233.58
752.7,19106.72
752.8,19079.85
752.9,19149.25
753,19253.73
753.1,19287.31
753.2,19035.82
753.3,18829.1
753.4,18764.92
753.5,19038.81
753.6,19067.91
753.7,19184.33
753.8,19069.4
753.9,18988.81
754,18960.45
754.1,18997.01
754.2,19102.24
754.3,19262.69
754.4,19133.58
754.5,19000
754.6,18864.92
754.7,19047.76
754.8,18921.64
754.9,18845.52
755,18800
755.1,19047.01
755.2,19008.21
755.3,18992.54
755.4,19051.49
755.5,18952.98
755.6,18858.21
755.7,19168.66
755.8,19005.22
755.9,18924.63
756,18926.86
756.1,18974.63
756.2,18994.03
756.3,18561.19
756.4,18746.27
756.5,18786.57
756.6,18616.42
756.7,18593.28
756.8,18683.58
756.9,18675.37
757,18870.15
757.1,18893.28
757.2,18572.39
757.3,18649.25
757.4,18748.51
757.5,18486.57
757.6,18476.87
757.7,18650
757.8,18826.12
757.9,18779.85
758,18723.88
758.1,18558.21
758.2,18545.52
758.3,18595.52
758.4,18534.33
758.5,18723.13
758.6,18588.06
758.7,18746.27
758.8,18499.25
758.9,18330.6
759,18404.48
759.1,18215.67
759.2,18601.49
759.3,18444.03
759.4,18346.27
759.5,18402.98
759.6,18300.75
759.7,18250
759.8,18029.85
759.9,18132.09
760,18279.85
760.1,18170.89
760.2,18663.43
760.3,18364.92
760.4,18455.97
760.5,18265.67
760.6,18460.45
760.7,18339.55
760.8,18210.45
760.9,18245.52
761,18152.98
761.1,18663.43
761.2,18409.7
761.3,18287.31
761.4,18172.39
761.5,18426.87
761.6,18360.45
761.7,18136.57
761.8,18140.3
761.9,18107.46
762,18168.66
762.1,18225.37
762.2,18119.4
762.3,18444.03
762.4,18207.46
762.5,18317.91
762.6,18185.82
762.7,18217.91
762.8,18047.76
762.9,18214.92
763,18452.24
763.1,18323.88
763.2,18198.51
763.3,18276.12
763.4,18495.52
763.5,18279.85
763.6,18258.21
763.7,18384.33
763.8,18139.55
763.9,17997.01
764,17979.1
764.1,18382.09
764.2,18141.79
764.3,17919.4
764.4,18198.51
764.5,18222.39
764.6,18234.33
764.7,18251.49
764.8,18428.36
764.9,18368.66
765,18300
765.1,18494.78
765.2,18506.72
765.3,18502.24
765.4,18514.18
765.5,18561.94
765.6,18355.97
765.7,18365.67
765.8,18569.4
765.9,18276.87
766,18178.36
766.1,18461.19
766.2,18558.21
766.3,18566.42
766.4,18410.45
766.5,18564.92
766.6,18457.46
766.7,18439.55
766.8,18686.57
766.9,18704.48
767,18617.16
767.1,18573.88
767.2,18644.78
767.3,18325.37
767.4,18555.97
767.5,18641.79
767.6,18579.85
767.7,18725.37
767.8,18577.61
767.9,18741.04
768,18544.03
768.1,18266.42
768.2,18319.4
768.3,18321.64
768.4,18439.55
768.5,18378.36
768.6,18531.34
768.7,18587.31
768.8,18494.78
768.9,18472.39
769,18602.24
769.1,18373.13
769.2,18528.36
769.3,18444.03
769.4,18431.34
769.5,18263.43
769.6,18523.88
769.7,18417.91
769.8,18668.66
769.9,18357.46
770,18492.54
770.1,18282.84
770.2,18228.36
770.3,18255.22
770.4,18464.18
770.5,18352.98
770.6,18496.27
770.7,18350
770.8,18263.43
770.9,18350
771,18429.1
771.1,18427.61
771.2,18460.45
771.3,18080.6
771.4,18315.67
771.5,18432.09
771.6,18397.76
771.7,18338.81
771.8,17914.18
771.9,18222.39
772,18326.87
772.1,18130.6
772.2,18225.37
772.3,18202.98
772.4,18243.28
772.5,18270.15
772.6,18036.57
772.7,18064.18
772.8,18044.78
772.9,18205.97
773,18300.75
773.1,18105.97
773.2,18327.61
773.3,17984.33
773.4,17949.25
773.5,18110.45
773.6,17910.45
773.7,17993.28
773.8,17823.88
773.9,17945.52
774,17878.36
774.1,18001.49
774.2,17973.88
774.3,17876.12
774.4,17777.61
774.5,18042.54
774.6,18037.31
774.7,17926.87
774.8,17692.54
774.9,17947.01
775,17819.4
775.1,17869.4
775.2,18009.7
775.3,17891.04
775.4,17834.33
775.5,17669.4
775.6,17739.55
775.7,17642.54
775.8,17772.39
775.9,17938.81
776,17619.4
776.1,17513.43
776.2,17517.91
776.3,17556.72
776.4,17595.52
776.5,17458.21
776.6,17450.75
776.7,17747.01
776.8,17526.12
776.9,17629.85
777,17526.87
777.1,17549.25
777.2,17581.34
777.3,17332.84
777.4,17401.49
777.5,17391.79
777.6,17617.91
777.7,17525.37
777.8,17413.43
777.9,17638.06
778,17474.63
778.1,17405.97
778.2,17416.42
778.3,17626.12
778.4,17464.18
778.5,17550
778.6,17332.84
778.7,17353.73
778.8,17428.36
778.9,17282.09
779,17138.81
779.1,17433.58
779.2,17175.37
779.3,17293.28
779.4,17348.51
779.5,17326.12
779.6,17441.04
779.7,17355.22
779.8,17196.27
779.9,17258.95
780,17050
780.1,17382.84
780.2,17015.67
780.3,17075.37
780.4,17054.48
780.5,16870.15
780.6,16941.04
780.7,17006.72
780.8,17110.45
780.9,17093.28
781,16726.87
781.1,16899.25
781.2,16950
781.3,16923.88
781.4,16901.49
781.5,16881.34
